Rank,Country,Country Code,Gold,Silver,Bronze,Total
64,Turkey,TUR,0,3,5,8
65,Mexico,MEX,0,3,2,5
66,Armenia,ARM,0,3,1,4
66,Colombia,COL,0,3,1,4
68,North Korea,PRK,0,2,4,6
68,Kyrgyzstan,KGZ,0,2,4,6
70,Lithuania,LTU,0,2,2,4
71,India,IND,0,1,5,6
72,Moldova,MDA,0,1,3,4
73,Kosovo,KOS,0,1,1,2
74,Cyprus,CYP,0,1,0,1
74,Fiji,FIJ,0,1,0,1
74,Jordan,JOR,0,1,0,1
74,Mongolia,MGL,0,1,0,1
74,Panama,PAN,0,1,0,1
79,Tajikistan,TJK,0,0,3,3
80,Albania,ALB,0,0,2,2
80,Grenada,GRN,0,0,2,2
80,Malaysia,MAS,0,0,2,2
80,Puerto Rico,PUR,0,0,2,2
84,Cape Verde,CPV,0,0,1,1
84,Ivory Coast,CIV,0,0,1,1
84,Refugee Olympic Team,EOR,0,0,1,1
84,Peru,PER,0,0,1,1
84,Qatar,QAT,0,0,1,1
84,Singapore,SIN,0,0,1,1
84,Slovakia,SVK,0,0,1,1
84,Zambia,ZAM,0,0,1,1
